{\rtf1\ansi\ansicpg1252\cocoartf2512
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Gm#,Date,Tm,,Opp,W/L,R,RA,W-L,Rank,GB,Time,D/N,Attendance\
45,Wednesday May 24,CHC,,SFG,W,5,4,24-21,2,0.5,3:05,N,35617\
46,Thursday May 25,CHC,,SFG,W,5,1,25-21,1,up 0.5,2:33,D,37513\
47,Friday May 26,CHC,@,LAD,L,0,4,25-22,1,up 0.5,2:49,N,45017\
48,Saturday May 27,CHC,@,LAD,L,0,5,25-23,2,0.5,2:41,D,48322\
49,Sunday May 28,CHC,@,LAD,L,4,9,25-24,2,1.5,3:28,D,47732\
50,Monday May 29,CHC,@,SDP,L,2,5,25-25,2,1.5,2:59,D,41414\
51,Tuesday May 30,CHC,@,SDP,L,2,6,25-26,2,1.5,2:52,N,33232\
52,Wednesday May 31,CHC,@,SDP,L,1,2,25-27,3,2.5,2:25,D,23995\
53,Friday Jun 2,CHC,,STL,W,3,2,26-27,3,2.0,2:47,D,41051\
54,Saturday Jun 3,CHC,,STL,W,5,3,27-27,2,1.0,2:35,D,41164\
55,Sunday Jun 4,CHC,,STL,W,7,6,28-27,2,1.0,3:00,N,39868\
56,Monday Jun 5,CHC,,MIA,W,3,1,29-27,1,Tied,2:16,N,34037\
57,Tuesday Jun 6,CHC,,MIA,W,10,2,30-27,1,Tied,3:01,N,34082\
58,Wednesday Jun 7,CHC,,MIA,L,5,6,30-28,2,1.0,3:06,N,37294\
59,Thursday Jun 8,CHC,,COL,L,1,4,30-29,2,1.0,2:44,N,39385\
60,Friday Jun 9,CHC,,COL,L,3,5,30-30,2,2.0,3:42,D,41229\
61,Saturday Jun 10,CHC,,COL,L,1,9,30-31,2,2.0,3:09,D,41226\
62,Sunday Jun 11,CHC,,COL,W,7,5,31-31,2,1.0,3:20,D,41116\
63,Monday Jun 12,CHC,@,NYM,L,1,6,31-32,2,1.5,2:23,N,33268\
64,Tuesday Jun 13,CHC,@,NYM,W,14,3,32-32,2,1.0,3:07,N,32651\
65,Wednesday Jun 14,CHC,@,NYM,L,4,9,32-33,2,2.0,3:02,N,34566\
66,Friday Jun 16,CHC,@,PIT,W,9,5,33-33,2,2.5,3:31,N,25420\
67,Saturday Jun 17,CHC,@,PIT,L,3,4,33-34,2,2.5,2:54,N,34383\
68,Sunday Jun 18,CHC,@,PIT,W,7,1,34-34,2,2.5,2:48,D,34539\
69,Monday Jun 19,CHC,,SDP,W,3,2,35-34,2,1.5,3:06,N,40802\
70,Tuesday Jun 20,CHC,,SDP,W,4,0,36-34,2,0.5,2:38,N,41607\
71,Wednesday Jun 21,CHC,,SDP,L,2,3,36-35,2,1.5,3:09,D,41708\
72,Thursday Jun 22,CHC,@,MIA,W,11,1,37-35,2,1.5,2:54,N,23472\
73,Friday Jun 23,CHC,@,MIA,L,0,2,37-36,2,1.5,2:30,N,24684\
74,Saturday Jun 24,CHC,@,MIA,W,5,3,38-36,2,0.5,2:55,D,25448\
75,Sunday Jun 25,CHC,@,MIA,L,2,4,38-37,2,1.5,2:51,D,25110\
76,Monday Jun 26,CHC,@,WSN,W,5,4,39-37,2,1.0,3:54,N,29651\
77,Tuesday Jun 27,CHC,@,WSN,L,1,6,39-38,2,1.0,3:09,N,31202\
78,Wednesday Jun 28,CHC,@,WSN,L,4,8,39-39,2,1.0,2:50,N,31072\
79,Thursday Jun 29,CHC,@,WSN,W,5,4,40-39,2,1.0,3:12,D,37097\
80,Friday Jun 30,CHC,@,CIN,L,0,5,40-40,2,2.0,2:37,N,39501\
81,Saturday Jul 1,CHC,@,CIN,L,3,5,40-41,2,3.0,3:02,D,39826\
82,Sunday Jul 2,CHC,@,CIN,W,6,2,41-41,2,2.0,3:08,D,38536\
83,Tuesday Jul 4,CHC,,TBR,L,5,6,41-42,2,3.5,3:25,D,42046\
84,Wednesday Jul 5,CHC,,TBR,W,7,3,42-42,2,3.5,3:10,D,39855\
85,Thursday Jul 6,CHC,,MIL,L,2,11,42-43,2,4.5,3:11,D,41576\
86,Friday Jul 7,CHC,,PIT,W,6,1,43-43,2,4.5,3:46,D,41294\
87,Saturday Jul 8,CHC,,PIT,L,2,4,43-44,2,4.5,2:59,N,41865\
88,Sunday Jul 9,CHC,,PIT,L,3,14,43-45,2,5.5,3:14,D,41604\
89,Friday Jul 14,CHC,@,BAL,W,9,8,44-45,2,5.5,3:42,N,34335\
90,Saturday Jul 15,CHC,@,BAL,W,10,3,45-45,2,5.5,3:02,N,40258\
91,Sunday Jul 16,CHC,@,BAL,W,8,0,46-45,2,4.5,2:56,D,31105\
92,Monday Jul 17,CHC,@,ATL,W,4,3,47-45,2,3.5,3:17,N,41256\
93,Tuesday Jul 18,CHC,@,ATL,W,5,1,48-45,2,2.5,3:01,N,41541\
94,Wednesday Jul 19,CHC,@,ATL,W,8,2,49-45,2,1.5,3:05,D,40054\
95,Friday Jul 21,CHC,,STL,L,4,11,49-46,2,1.0,3:17,D,42186\
96,Saturday Jul 22,CHC,,STL,W,3,2,50-46,2,1.0,2:34,D,41969\
97,Sunday Jul 23,CHC,,STL,W,5,3,51-46,1,Tied,2:50,N,41582\
98,Monday Jul 24,CHC,,CHW,L,1,3,51-47,2,0.5,3:17,D,40849\
99,Tuesday Jul 25,CHC,,CHW,W,7,2,52-47,2,0.5,3:38,D,40717\
100,Wednesday Jul 26,CHC,@,CHW,W,8,3,53-47,1,up 0.5,3:53,N,38517\
101,Thursday Jul 27,CHC,@,CHW,W,6,3,54-47,1,up 1.5,2:37,N,39422\
102,Friday Jul 28,CHC,@,MIL,L,1,2,54-48,1,up 0.5,2:34,N,42574\
103,Saturday Jul 29,CHC,@,MIL,W,2,1,55-48,1,up 1.5,4:05,N,44709\
104,Sunday Jul 30,CHC,@,MIL,W,4,2,56-48,1,up 2.5,2:49,D,44269\
105,Tuesday Aug 1,CHC,,ARI,W,16,4,57-48,1,up 2.5,3:27,N,40709\
106,Wednesday Aug 2,CHC,,ARI,L,0,3,57-49,1,up 2.5,2:44,N,41321\
107,Thursday Aug 3,CHC,,ARI,L,8,10,57-50,1,up 1.5,3:59,D,39525\
108,Friday Aug 4,CHC,,WSN,L,2,4,57-51,1,up 0.5,2:43,D,41396\
109,Saturday Aug 5,CHC,,WSN,W,7,4,58-51,1,up 0.5,3:31,D,41857\
110,Sunday Aug 6,CHC,,WSN,L,4,9,58-52,1,up 0.5,3:06,D,41047\
111,Monday Aug 7,CHC,@,SFG,W,5,3,59-52,1,up 1.5,2:55,N,40462\
112,Tuesday Aug 8,CHC,@,SFG,L,3,6,59-53,1,up 1.5,2:44,N,39864\
113,Wednesday Aug 9,CHC,@,SFG,L,1,3,59-54,1,up 1.5,2:50,D,41099\
114,Friday Aug 11,CHC,@,ARI,W,8,3,60-54,1,up 1.0,3:23,N,39131\
115,Saturday Aug 12,CHC,@,ARI,L,2,6,60-55,1,Tied,3:05,N,42219\
116,Sunday Aug 13,CHC,@,ARI,W,7,2,61-55,1,up 1.0,3:12,D,41760\
117,Monday Aug 14,CHC,,CIN,W,15,5,62-55,1,up 1.5,3:45,N,40263\
118,Tuesday Aug 15,CHC,,CIN,L,1,2,62-56,1,up 1.5,3:04,N,36698\
119,Wednesday Aug 16,CHC,,CIN,W-wo,7,6,63-56,1,up 1.5,3:35,N,37021\
120,Thursday Aug 17,CHC,,CIN,L,10,13,63-57,1,up 1.0,3:45,D,38675\
121,Friday Aug 18,CHC,,TOR,W,7,4,64-57,1,up 1.5,3:02,D,41814\
122,Saturday Aug 19,CHC,,TOR,W,4,3,65-57,1,up 2.0,3:09,D,41558\
123,Sunday Aug 20,CHC,,TOR,W-wo,6,5,66-57,1,up 2.0,3:44,D,41459\
124,Tuesday Aug 22,CHC,@,CIN,W,13,9,67-57,1,up 2.5,4:04,N,16467\
125,Wednesday Aug 23,CHC,@,CIN,W,9,3,68-57,1,up 3.5,2:55,N,15355\
126,Thursday Aug 24,CHC,@,CIN,L,2,4,68-58,1,up 3.0,2:47,N,18191\
127,Friday Aug 25,CHC,@,PHI,L,1,7,68-59,1,up 3.0,3:00,N,24424\
128,Saturday Aug 26,CHC,@,PHI,W,17,2,69-59,1,up 3.0,3:03,N,29379\
129,Sunday Aug 27,CHC,@,PHI,L,3,6,69-60,1,up 2.0,2:54,D,28689\
130,Monday Aug 28,CHC,,PIT,W,6,1,70-60,1,up 2.5,2:50,N,38453\
131,Tuesday Aug 29,CHC,,PIT,W,4,1,71-60,1,up 3.5,2:49,N,37370\
132,Wednesday Aug 30,CHC,,PIT,W,17,3,72-60,1,up 3.5,3:12,N,36628\
133,Thursday Aug 31,CHC,,ATL,W,6,2,73-60,1,up 3.5,2:59,N,38031\
134,Friday Sep 1,CHC,,ATL,W,2,0,74-60,1,up 3.5,2:38,D,37280\
135,Saturday Sep 2,CHC,,ATL,W,14,12,75-60,1,up 4.5,3:49,D,41329\
136,Sunday Sep 3,CHC,,ATL,L,1,5,75-61,1,up 3.5,2:43,D,42145\
137,Monday Sep 4,CHC,@,PIT,L,0,12,75-62,1,up 3.5,3:05,D,21068\
138,Tuesday Sep 5,CHC,@,PIT,L,3,4,75-63,1,up 3.5,2:35,N,14079\
139,Wednesday Sep 6,CHC,@,PIT,W,1,0,76-63,1,up 4.0,3:05,N,17067\
140,Thursday Sep 7,CHC,@,PIT,W,8,2,77-63,1,up 5.0,3:13,N,19201\
141,Friday Sep 8,CHC,,MIL,L,0,2,77-64,1,up 4.0,2:51,N,41020\
142,Saturday Sep 9,CHC,,MIL,L,2,15,77-65,1,up 3.0,3:09,D,41167\
143,Sunday Sep 10,CHC,,MIL,L,1,3,77-66,1,up 2.0,2:54,D,40113\
144,Tuesday Sep 12,CHC,,NYM,W,8,3,78-66,1,up 2.0,3:16,N,37834\
145,Wednesday Sep 13,CHC,,NYM,W,17,5,79-66,1,up 2.5,3:42,N,36008\
146,Thursday Sep 14,CHC,,NYM,W,14,6,80-66,1,up 3.0,3:06,N,37867\
147,Friday Sep 15,CHC,,STL,W,8,2,81-66,1,up 3.0,3:07,D,38464\
148,Saturday Sep 16,CHC,,STL,W,4,1,82-66,1,up 4.0,2:49,D,40959\
149,Sunday Sep 17,CHC,,STL,W,4,3,83-66,1,up 4.0,3:44,D,37242\
150,Tuesday Sep 19,CHC,@,TBR,W,2,1,84-66,1,up 3.5,2:45,N,25046\
151,Wednesday Sep 20,CHC,@,TBR,L,1,8,84-67,1,up 3.5,3:04,N,24238\
152,Thursday Sep 21,CHC,@,MIL,W,5,3,85-67,1,up 4.5,3:57,N,35114\
153,Friday Sep 22,CHC,@,MIL,W,5,4,86-67,1,up 5.0,4:03,N,40116\
154,Saturday Sep 23,CHC,@,MIL,L-wo,3,4,86-68,1,up 4.5,3:17,D,44067\
155,Sunday Sep 24,CHC,@,MIL,W,5,0,87-68,1,up 5.5,2:53,D,42212\
156,Monday Sep 25,CHC,@,STL,W,10,2,88-68,1,up 6.0,3:11,N,42516\
157,Tuesday Sep 26,CHC,@,STL,L,7,8,88-69,1,up 5.0,3:46,N,41944\
158,Wednesday Sep 27,CHC,@,STL,W,5,1,89-69,1,up 6.0,2:41,N,42070\
159,Thursday Sep 28,CHC,@,STL,W,2,1,90-69,1,up 6.0,3:32,N,43094\
160,Friday Sep 29,CHC,,CIN,W,5,4,91-69,1,up 6.0,2:56,D,36258\
161,Saturday Sep 30,CHC,,CIN,W,9,0,92-69,1,up 7.0,3:04,D,41493\
162,Sunday Oct 1,CHC,,CIN,L,1,3,92-70,1,up 6.0,2:30,D,40971}
