Gm#,Date,Season,Tm,,Opp,W/L,R,RA,W-L,Rank,GB,Time,D/N,Attendance
2,Friday Mar 29,2019,ARI,@,LAD,W,5,4,1-Jan,3,1,6:05,N,42266
3,Saturday Mar 30,2019,ARI,@,LAD,L,5,18,2-Jan,4,1,3:14,N,50626
4,Sunday Mar 31,2019,ARI,@,LAD,L,7,8,3-Jan,4,2,3:29,D,43815
5,Monday Apr 1,2019,ARI,@,SDP,W,10,3,3-Feb,3,1,3:04,N,18683
6,Tuesday Apr 2,2019,ARI,@,SDP,W,8,5,3-Mar,2,1,3:21,N,22504
7,Wednesday Apr 3,2019,ARI,@,SDP,L,1,4,4-Mar,3,2,2:59,D,19376
8,Friday Apr 5,2019,ARI,,BOS,W,15,8,4-Apr,3,2,3:23,D,48338
9,Saturday Apr 6,2019,ARI,,BOS,W-wo,5,4,4-May,3,2,3:19,N,35969
10,Sunday Apr 7,2019,ARI,,BOS,L,0,1,5-May,3,3,2:29,D,31565
11,Tuesday Apr 9,2019,ARI,,TEX,W-wo,5,4,5-Jun,3,1.5,2:48,N,16620
12,Wednesday Apr 10,2019,ARI,,TEX,L,2,5,6-Jun,3,1.5,3:35,N,15871
13,Thursday Apr 11,2019,ARI,,SDP,L,6,7,7-Jun,3,2.5,3:13,N,15449
14,Friday Apr 12,2019,ARI,,SDP,L,1,2,8-Jun,3,3.5,2:38,N,22209
15,Saturday Apr 13,2019,ARI,,SDP,L,4,5,9-Jun,4,4.5,3:41,N,27256
16,Sunday Apr 14,2019,ARI,,SDP,W,8,4,9-Jul,3,3.5,2:49,D,25489
17,Tuesday Apr 16,2019,ARI,@,ATL,W,9,6,9-Aug,3,2,3:36,N,22407
18,Wednesday Apr 17,2019,ARI,@,ATL,W,3,2,9-Sep,3,2,3:32,N,22356
19,Thursday Apr 18,2019,ARI,@,ATL,W,4,1,9-Oct,3,2,3:25,D,24193
20,Friday Apr 19,2019,ARI,@,CHC,L,1,5,10-Oct,3,3,3:24,D,33938
21,Saturday Apr 20,2019,ARI,@,CHC,W,6,0,10-Nov,2,2,3:08,D,37667
22,Sunday Apr 21,2019,ARI,@,CHC,L-wo,1,2,11-Nov,3,3,2:28,D,38181
23,Monday Apr 22,2019,ARI,@,PIT,W,12,4,11-Dec,2,2.5,3:35,N,9233
24,Tuesday Apr 23,2019,ARI,@,PIT,W,2,1,13-11,2,1.5,2:53,N,8558
25,Wednesday Apr 24,2019,ARI,@,PIT,W,11,2,14-11,2,0.5,2:49,N,9450
26,Thursday Apr 25,2019,ARI,@,PIT,W,5,0,15-11,2,0.5,2:41,D,9365
27,Friday Apr 26,2019,ARI,,CHC,W,8,3,16-11,2,0.5,3:04,N,30664
28,Saturday Apr 27,2019,ARI,,CHC,L,1,9,16-12,3,1.5,3:05,N,27793
29,Sunday Apr 28,2019,ARI,,CHC,L,5,6,16-13,3,2.5,5:36,D,29477
30,Tuesday Apr 30,2019,ARI,,NYY,W,3,1,17-13,2,2,2:33,N,36352
31,Wednesday May 1,2019,ARI,,NYY,W,3,2,18-13,2,1,3:12,D,31365
32,Friday May 3,2019,ARI,@,COL,W,10,9,19-13,2,1,3:24,N,29574
33,Saturday May 4,2019,ARI,@,COL,W,9,2,20-13,2,1,2:51,N,37765
34,Sunday May 5,2019,ARI,@,COL,L,7,8,20-14,2,1,3:09,D,40262
35,Monday May 6,2019,ARI,@,TBR,L,1,12,20-15,2,2,2:54,N,8124
36,Tuesday May 7,2019,ARI,@,TBR,L,3,6,20-16,2,3,3:19,N,8059
37,Wednesday May 8,2019,ARI,@,TBR,W,3,2,21-16,2,3,4:39,D,8663
38,Thursday May 9,2019,ARI,,ATL,W-wo,3,2,22-16,2,2,3:13,N,17751
39,Friday May 10,2019,ARI,,ATL,L,1,2,22-17,2,3,3:00,N,21932
40,Saturday May 11,2019,ARI,,ATL,L,4,6,22-18,2,3,3:09,N,33168
41,Sunday May 12,2019,ARI,,ATL,L,3,5,22-19,2,4,3:21,D,27460
42,Monday May 13,2019,ARI,,PIT,W,9,3,23-19,2,3.5,3:27,N,15418
43,Tuesday May 14,2019,ARI,,PIT,L,2,6,23-20,2,4.5,2:45,N,21047
44,Wednesday May 15,2019,ARI,,PIT,W,11,1,24-20,2,4.5,2:58,D,17258
45,Friday May 17,2019,ARI,,SFG,W,7,0,25-20,2,4.5,3:06,N,26806
46,Saturday May 18,2019,ARI,,SFG,L,5,8,25-21,2,4.5,3:24,N,25014
47,Sunday May 19,2019,ARI,,SFG,L,2,3,25-22,2,5.5,3:28,D,24061
48,Monday May 20,2019,ARI,@,SDP,L,1,2,25-23,2,6,2:40,N,17578
49,Tuesday May 21,2019,ARI,@,SDP,L,2,3,25-24,2,7,2:21,N,19969
50,Wednesday May 22,2019,ARI,@,SDP,L,2,5,25-25,3,7,2:57,D,18715
51,Friday May 24,2019,ARI,@,SFG,W,18,2,26-25,3,7,3:35,N,31777
52,Saturday May 25,2019,ARI,@,SFG,W,10,4,27-25,3,7,3:06,D,31531
53,Sunday May 26,2019,ARI,@,SFG,W,6,2,28-25,2,7,3:17,D,37017
54,Monday May 27,2019,ARI,@,COL,L-wo,3,4,28-26,2,8,4:23,D,35604
55,Tuesday May 28,2019,ARI,@,COL,L,2,6,28-27,3,8,3:02,N,21583
56,Wednesday May 29,2019,ARI,@,COL,L,4,5,28-28,3,9,3:11,N,24261
57,Thursday May 30,2019,ARI,@,COL,L-wo,10,11,28-29,4,10,3:51,D,30371
58,Friday May 31,2019,ARI,,NYM,L,4,5,28-30,4,11,3:14,N,24664
59,Saturday Jun 1,2019,ARI,,NYM,W-wo,6,5,29-30,4,11,3:42,N,34888
60,Sunday Jun 2,2019,ARI,,NYM,W,7,1,30-30,4,11,2:37,D,26945
61,Monday Jun 3,2019,ARI,,LAD,L,1,3,30-31,4,12,2:26,N,24124
62,Tuesday Jun 4,2019,ARI,,LAD,L,0,9,30-32,4,13,3:07,N,29784
63,Wednesday Jun 5,2019,ARI,,LAD,W-wo,3,2,31-32,4,12,3:27,D,22753
64,Friday Jun 7,2019,ARI,@,TOR,W,8,2,32-32,4,11,2:50,N,16555
65,Saturday Jun 8,2019,ARI,@,TOR,W,6,0,33-32,3,11,3:09,D,22954
66,Sunday Jun 9,2019,ARI,@,TOR,W,8,2,34-32,2,11,3:04,D,19661
67,Monday Jun 10,2019,ARI,@,PHI,W,13,8,35-32,2,10,3:50,N,26255
68,Tuesday Jun 11,2019,ARI,@,PHI,L,4,7,35-33,3,10,3:16,N,26321
69,Wednesday Jun 12,2019,ARI,@,PHI,W,2,0,36-33,2,9.5,2:16,N,29047
70,Thursday Jun 13,2019,ARI,@,WSN,W,5,0,37-33,2,9.5,2:15,N,24909
71,Friday Jun 14,2019,ARI,@,WSN,L,3,7,37-34,2,10.5,2:57,N,29853
72,Saturday Jun 15,2019,ARI,@,WSN,W,10,3,38-34,2,9.5,3:30,D,38044
73,Sunday Jun 16,2019,ARI,@,WSN,L,5,15,38-35,2,10.5,3:14,D,29032
74,Tuesday Jun 18,2019,ARI,,COL,L,1,8,38-36,3,11,2:51,N,22954
75,Wednesday Jun 19,2019,ARI,,COL,L,4,6,38-37,3,12,2:55,N,21773
76,Thursday Jun 20,2019,ARI,,COL,L,4,6,38-38,4,13,4:08,D,23294
77,Friday Jun 21,2019,ARI,,SFG,L,5,11,38-39,4,14,3:09,N,29312
78,Saturday Jun 22,2019,ARI,,SFG,L,4,7,38-40,4,15,3:20,N,32082
79,Sunday Jun 23,2019,ARI,,SFG,W-wo,3,2,39-40,3,15,3:13,D,25071
80,Monday Jun 24,2019,ARI,,LAD,W,8,5,40-40,3,14,3:12,N,24675
81,Tuesday Jun 25,2019,ARI,,LAD,L,2,3,40-41,3,15,3:07,N,27927
82,Wednesday Jun 26,2019,ARI,,LAD,W,8,2,41-41,3,14,3:01,D,28752
83,Thursday Jun 27,2019,ARI,@,SFG,W,5,1,42-41,3,14,2:42,N,30790
84,Friday Jun 28,2019,ARI,@,SFG,L,3,6,42-42,4,14,3:07,N,35391
85,Saturday Jun 29,2019,ARI,@,SFG,W,4,3,43-42,4,13,3:18,N,31600
86,Sunday Jun 30,2019,ARI,@,SFG,L,4,10,43-43,4,14,3:09,D,31778
87,Tuesday Jul 2,2019,ARI,@,LAD,L-wo,4,5,43-44,3,15,3:26,N,52969
88,Wednesday Jul 3,2019,ARI,@,LAD,L-wo,4,5,43-45,3,16,3:19,N,53327
89,Friday Jul 5,2019,ARI,,COL,W,8,0,44-45,3,15.5,2:52,N,43056
90,Saturday Jul 6,2019,ARI,,COL,W,4,2,45-45,2,14.5,3:11,N,28276
91,Sunday Jul 7,2019,ARI,,COL,W,5,3,46-45,2,13.5,2:36,D,22964
92,Friday Jul 12,2019,ARI,@,STL,W,4,2,47-45,2,12.5,2:56,N,44960
93,Saturday Jul 13,2019,ARI,@,STL,L,2,4,47-46,2,13.5,3:04,N,46152
94,Sunday Jul 14,2019,ARI,@,STL,L,2,5,47-47,2,14.5,2:52,D,43439
95,Tuesday Jul 16,2019,ARI,@,TEX,W,9,2,48-47,2,14,3:23,N,19202
96,Wednesday Jul 17,2019,ARI,@,TEX,W,19,4,49-47,2,14,3:14,N,26681
97,Thursday Jul 18,2019,ARI,,MIL,L,1,5,49-48,2,14,2:59,N,23985
98,Friday Jul 19,2019,ARI,,MIL,W,10,7,50-48,2,14,3:44,N,28505
99,Saturday Jul 20,2019,ARI,,MIL,L,3,8,50-49,2,15,3:17,N,38567
100,Sunday Jul 21,2019,ARI,,MIL,L,4,7,50-50,2,16,3:39,D,33111
101,Monday Jul 22,2019,ARI,,BAL,W,6,3,51-50,2,15.5,2:55,N,19192
102,Tuesday Jul 23,2019,ARI,,BAL,L,2,7,51-51,3,15.5,2:57,N,20253
103,Wednesday Jul 24,2019,ARI,,BAL,W,5,2,52-51,2,14.5,3:24,D,20452
104,Friday Jul 26,2019,ARI,@,MIA,L-wo,2,3,52-52,3,15.5,3:10,N,8867
105,Saturday Jul 27,2019,ARI,@,MIA,W,9,2,53-52,2,15.5,2:49,N,13047
106,Sunday Jul 28,2019,ARI,@,MIA,L,1,5,53-53,3,15.5,3:11,D,11538
107,Monday Jul 29,2019,ARI,@,MIA,L,6,11,53-54,3,15.5,2:59,N,7048
108,Tuesday Jul 30,2019,ARI,@,NYY,W,4,2,54-54,3,15.5,3:10,N,47281
109,Wednesday Jul 31,2019,ARI,@,NYY,L,5,7,54-55,3,16.5,3:43,D,43979
110,Friday Aug 2,2019,ARI,,WSN,L,0,3,54-56,3,17,2:43,N,24298
111,Saturday Aug 3,2019,ARI,,WSN,W,18,7,55-56,3,17,3:46,N,33966
112,Sunday Aug 4,2019,ARI,,WSN,W,7,5,56-56,2,17,3:07,D,22976
113,Monday Aug 5,2019,ARI,,PHI,L,3,7,56-57,2,18,3:05,N,18319
114,Tuesday Aug 6,2019,ARI,,PHI,W,8,4,57-57,2,18,3:19,N,17446
115,Wednesday Aug 7,2019,ARI,,PHI,W,6,1,58-57,2,18,3:10,N,18140
116,Friday Aug 9,2019,ARI,@,LAD,W,3,2,59-57,2,17,3:49,N,49538
117,Saturday Aug 10,2019,ARI,@,LAD,L,0,4,59-58,2,18,3:18,N,52606
118,Sunday Aug 11,2019,ARI,@,LAD,L,3,9,59-59,2,19,2:40,D,44619
119,Monday Aug 12,2019,ARI,@,COL,W,8,6,60-59,2,18.5,3:30,N,32160
120,Tuesday Aug 13,2019,ARI,@,COL,W,9,3,61-59,2,18.5,3:32,N,31815
121,Wednesday Aug 14,2019,ARI,@,COL,L-wo,6,7,61-60,2,19.5,3:25,D,32247
122,Thursday Aug 15,2019,ARI,,SFG,L,0,7,61-61,2,19.5,2:44,N,19037
123,Friday Aug 16,2019,ARI,,SFG,L,9,10,61-62,3,20.5,4:05,N,23642
124,Saturday Aug 17,2019,ARI,,SFG,L,6,11,61-63,3,20.5,3:40,N,35366
125,Sunday Aug 18,2019,ARI,,SFG,W,6,1,62-63,3,19.5,3:19,D,26079
126,Monday Aug 19,2019,ARI,,COL,W,5,3,63-63,3,19,2:51,N,15443
127,Tuesday Aug 20,2019,ARI,,COL,W,8,7,64-63,2,19,3:13,N,17691
128,Wednesday Aug 21,2019,ARI,,COL,L,2,7,64-64,2,20,2:50,D,17707
129,Friday Aug 23,2019,ARI,@,MIL,L,1,6,64-65,2,20.5,3:06,N,42209
130,Saturday Aug 24,2019,ARI,@,MIL,L,0,4,64-66,3,21.5,3:29,N,41737
131,Sunday Aug 25,2019,ARI,@,MIL,W,5,2,65-66,3,20.5,3:44,D,38920
132,Monday Aug 26,2019,ARI,@,SFG,W,6,4,66-66,2,19.5,3:30,N,29169
133,Tuesday Aug 27,2019,ARI,@,SFG,W,3,2,67-66,2,19.5,2:46,N,28262
134,Thursday Aug 29,2019,ARI,,LAD,W,11,5,68-66,2,19,3:23,N,22581
135,Friday Aug 30,2019,ARI,,LAD,W,5,4,69-66,2,18,3:41,N,34149
136,Saturday Aug 31,2019,ARI,,LAD,W,6,5,70-66,2,17,3:11,N,50180
137,Sunday Sep 1,2019,ARI,,LAD,L,3,4,70-67,2,18,3:56,D,34439
138,Monday Sep 2,2019,ARI,,SDP,W,14,7,71-67,2,18,3:26,D,23477
139,Tuesday Sep 3,2019,ARI,,SDP,W,2,1,72-67,2,18,3:08,N,15402
140,Wednesday Sep 4,2019,ARI,,SDP,W,4,1,73-67,2,18,2:55,N,18096
141,Friday Sep 6,2019,ARI,@,CIN,W,7,5,74-67,2,17,4:10,N,19048
142,Saturday Sep 7,2019,ARI,@,CIN,W,2,0,75-67,2,16,2:39,D,34804
143,Sunday Sep 8,2019,ARI,@,CIN,L-wo,3,4,75-68,2,17,3:12,D,19717
144,Monday Sep 9,2019,ARI,@,NYM,L,1,3,75-69,2,17.5,2:45,N,21337
145,Tuesday Sep 10,2019,ARI,@,NYM,L,2,3,75-70,2,18.5,3:02,N,20843
146,Wednesday Sep 11,2019,ARI,@,NYM,L,0,9,75-71,2,18.5,3:06,N,21841
147,Thursday Sep 12,2019,ARI,@,NYM,L,1,11,75-72,2,19.5,3:25,D,21856
148,Friday Sep 13,2019,ARI,,CIN,L,3,4,75-73,2,20.5,2:48,N,35158
149,Saturday Sep 14,2019,ARI,,CIN,W,1,0,76-73,2,19.5,2:15,N,35151
150,Sunday Sep 15,2019,ARI,,CIN,L,1,3,76-74,2,20.5,2:55,D,25193
151,Monday Sep 16,2019,ARI,,MIA,W,7,5,77-74,2,20,3:25,N,15897
152,Tuesday Sep 17,2019,ARI,,MIA,L,6,12,77-75,2,21,3:49,N,19745
153,Wednesday Sep 18,2019,ARI,,MIA,W,5,4,78-75,2,20,2:55,D,17731
154,Friday Sep 20,2019,ARI,@,SDP,W,9,0,79-75,2,20,3:11,N,27023
155,Saturday Sep 21,2019,ARI,@,SDP,W,4,2,80-75,2,19,3:12,N,30191
156,Sunday Sep 22,2019,ARI,@,SDP,L-wo,4,6,80-76,2,20,3:42,D,31293
157,Monday Sep 23,2019,ARI,,STL,L,7,9,80-77,2,20.5,3:29,N,24826
158,Tuesday Sep 24,2019,ARI,,STL,W-wo,3,2,81-77,2,20.5,6:53,N,26097
159,Wednesday Sep 25,2019,ARI,,STL,W,9,7,82-77,2,20.5,3:52,D,21420
160,Friday Sep 27,2019,ARI,,SDP,W,6,3,83-77,2,21,3:03,N,32244
161,Saturday Sep 28,2019,ARI,,SDP,W,6,5,84-77,2,21,3:05,N,46477
162,Sunday Sep 29,2019,ARI,,SDP,W-wo,1,0,85-77,2,21,2:46,D,45446
,,,,,,,,,,,,,,
